event_num,cc,dis,qel,res,xsec
0,True,False,True,False,0.17659651143301436
1,True,False,True,False,1.072742563411043
2,True,False,True,False,0.5811844725108035
3,True,False,True,False,1.3532892701164392
4,True,False,True,False,1.3962786096802244
5,True,False,True,False,0.40381880768167716
6,True,False,True,False,0.3248742910352274
7,True,False,True,False,0.9347495025686121
8,True,False,True,False,1.515661800668011
9,True,False,True,False,1.33025953929245
10,True,False,True,False,1.2438138219175563
11,True,False,True,False,0.9246280373651923
12,True,False,True,False,1.256743096251525
13,True,False,True,False,1.529748531669566
14,True,False,True,False,0.9764428386984713
15,True,False,True,False,1.5227274768489698
16,True,False,True,False,1.290608305697349
17,True,False,True,False,0.041562366956092694
18,True,False,True,False,1.158985095239461
19,True,False,True,False,0.40478454008956155
20,True,False,True,False,1.363208228677937
21,True,False,True,False,1.4718588602838856
22,True,False,True,False,1.15364888004207
23,True,False,True,False,0.04226962098035552
24,True,False,True,False,0.37638542824055654
25,True,False,True,False,1.4307960002466449
26,True,False,True,False,1.194448773518515
27,True,False,True,False,0.3642270961437396
28,True,False,True,False,1.3118321259579035
29,True,False,True,False,0.6684404803971322
30,True,False,True,False,1.4839988225312384
31,True,False,True,False,0.97431464081257
32,True,False,True,False,0.7826825414594215
33,True,False,True,False,0.6736308661215141
34,True,False,True,False,0.039531314724712226
35,True,False,True,False,1.2640628225487704
36,True,False,True,False,1.0917327469814997
37,True,False,True,False,0.28032052559731035
38,True,False,True,False,0.8589131092111509
39,True,False,True,False,1.1308372622217815
40,True,False,True,False,1.2203041784041213
41,True,False,True,False,1.3816106906207855
42,True,False,True,False,1.4570282031157542
43,True,False,True,False,1.3797045546275684
44,True,False,True,False,1.2027339060990758
45,True,False,True,False,1.2704355738870265
46,True,False,True,False,0.27109330065240206
47,True,False,True,False,1.477024424583924
48,True,False,True,False,0.9253825839128653
49,True,False,True,False,0.36879283849792843
50,True,False,True,False,1.4555880321807344
51,True,False,True,False,1.5124666407915281
52,True,False,True,False,0.9682761448170171
53,True,False,True,False,1.2789671067938855
54,True,False,True,False,0.1791177677607465
55,True,False,True,False,1.4481624360732415
56,True,False,True,False,1.2609823412253347
57,True,False,True,False,1.3502105408643754
58,True,False,True,False,0.15123373484964367
59,True,False,True,False,1.4242038865000552
60,True,False,True,False,0.3446756908659891
61,True,False,True,False,0.04384404591650662
62,True,False,True,False,0.2573570658932398
63,True,False,True,False,0.931889203346721
64,True,False,True,False,1.4829426178521832
65,True,False,True,False,1.3995637218331947
66,True,False,True,False,1.2220648687357676
67,True,False,True,False,1.213723580966559
68,True,False,True,False,0.37790737049926976
69,True,False,True,False,1.3418901080301546
70,True,False,True,False,1.1974084410592492
71,True,False,True,False,1.2103998333778705
72,True,False,True,False,1.03918930224593
73,True,False,True,False,0.22285346804280215
74,True,False,True,False,1.1866806881375354
75,True,False,True,False,1.4728179060538191
76,True,False,True,False,1.3704006642791873
77,True,False,True,False,1.1354290435568706
78,True,False,True,False,0.8720417199404847
79,True,False,True,False,0.7695849146136544
80,True,False,True,False,0.3344071412417829
81,True,False,True,False,1.2890656070809523
82,True,False,True,False,1.3908295211203745
83,True,False,True,False,1.1407023866352877
84,True,False,True,False,1.3633285010945495
85,True,False,True,False,1.1278137378060449
86,True,False,True,False,1.2687011839004163
87,True,False,True,False,0.9915042542318041
88,True,False,True,False,1.2211859515537458
89,True,False,True,False,1.243040904419833
90,True,False,True,False,1.3310163055423763
91,True,False,True,False,1.2643578258999555
92,True,False,True,False,1.4723635434530067
93,True,False,True,False,1.333870327664919
94,True,False,True,False,1.2828468850658317
95,True,False,True,False,1.3024402080366417
96,True,False,True,False,1.504833618134462
97,True,False,True,False,1.3506358808550971
98,True,False,True,False,0.22414354988093918
99,True,False,True,False,1.3391727806622111
100,True,False,True,False,0.6533626040016183
101,True,False,True,False,1.3123184335666354
102,True,False,True,False,0.3690117445252626
103,True,False,True,False,1.5284268046571414
104,True,False,True,False,0.40668091411103235
105,True,False,True,False,1.2729363208587359
106,True,False,True,False,0.9691801351027682
107,True,False,True,False,1.1016528055466133
108,True,False,True,False,0.33170764933252156
109,True,False,True,False,1.495826507284494
110,True,False,True,False,0.19179016721478095
111,True,False,True,False,1.4335278694199538
112,True,False,True,False,1.1581030203922993
113,True,False,True,False,1.5131873682026737
114,True,False,True,False,1.2630479167059165
115,True,False,True,False,1.4638993271173741
116,True,False,True,False,0.9156385435002425
117,True,False,True,False,0.9719205584539065
118,True,False,True,False,1.2561431625661073
119,True,False,True,False,0.9733982338151981
120,True,False,True,False,0.023250421557083973
121,True,False,True,False,0.9217244129267014
122,True,False,True,False,1.121385345668653
123,True,False,True,False,1.3774325492280062
124,True,False,True,False,0.4028022952632994
125,True,False,True,False,0.39456475733533497
126,True,False,True,False,1.4268158084298952
127,True,False,True,False,1.3680611399133904
128,True,False,True,False,1.5234054651271967
129,True,False,True,False,1.1190355536713368
130,True,False,True,False,1.0872920547788973
131,True,False,True,False,0.017529320381514626
132,True,False,True,False,1.1843435306402572
133,True,False,True,False,1.2712493258547295
134,True,False,True,False,0.1930330916749414
