# ice_absorption,ice_scattering,offset,opt_eff_headon,opt_eff_lateral,opt_eff_overall,coin_fraction,pid,reco_coszen,reco_energy
-0.772969,0.635089,0.938086,-0.015966,-0.000208,0.612317,-0.006851,1,-0.500,20.7
-0.503078,1.195718,0.994549,-0.004159,0.007111,0.948064,-0.029778,0,-0.300,20.7
-1.823077,1.082889,0.990477,-0.015776,0.014116,-0.243741,-0.117357,1,-0.300,20.7
-0.070458,-0.071884,0.944002,-0.000855,-0.001849,0.610752,0.021533,0,-0.100,20.7
-0.693255,0.079133,0.990013,-0.016502,0.004640,1.201928,-0.045968,1,-0.100,20.7
-0.033782,0.264167,0.986877,0.014970,0.001424,1.018375,0.022214,0,0.100,20.7
0.357770,0.250865,0.931083,-0.018346,0.000346,1.031501,0.018981,1,0.100,20.7
0.380173,0.203267,0.997948,0.023521,-0.002956,0.807436,-0.063892,0,0.300,20.7
-0.158343,-0.298728,0.982898,-0.001215,0.006720,0.786409,0.038752,1,0.300,20.7
0.443226,-1.001752,1.018542,0.023727,0.001196,1.005431,0.046401,0,0.500,20.7
-1.011451,0.350068,0.989201,0.031793,-0.007199,1.205254,-0.131099,1,0.500,20.7
0.437589,-1.526120,1.017198,0.030871,-0.000611,0.901213,0.006061,0,0.700,20.7
-0.222056,-1.099116,1.030743,0.020972,-0.008705,0.338298,-0.145298,1,0.700,20.7
0.010150,-1.985802,0.955481,0.027347,-0.002285,0.719991,0.008391,0,0.900,20.7
0.117156,-3.157850,1.165295,0.041090,-0.004143,0.251305,-0.036115,1,0.900,20.7
-0.287377,1.260359,1.045870,-0.038636,0.002148,0.813924,0.004652,0,-0.900,27.7
-0.929349,0.330148,0.882338,-0.009899,0.008983,0.517226,-0.010954,1,-0.900,27.7
-0.632590,1.516185,0.989881,-0.038901,-0.000530,0.733286,-0.027638,0,-0.700,27.7
-1.919684,2.494408,1.000123,-0.010095,-0.006880,0.723819,-0.145455,1,-0.700,27.7
-0.333647,0.429730,1.024058,-0.023529,-0.002006,1.189047,-0.004147,0,-0.500,27.7
-0.168652,-0.112783,0.937054,-0.042680,0.004586,1.569197,0.113206,1,-0.500,27.7
-0.245799,1.209275,1.025204,-0.042921,0.000392,0.860027,0.034744,0,-0.300,27.7
0.367722,0.113451,0.918040,-0.021040,-0.002889,1.133575,-0.107027,1,-0.300,27.7
-0.737172,0.681167,0.971098,-0.006311,0.002636,1.201577,-0.042993,0,-0.100,27.7
-0.071492,1.164231,0.996737,0.007152,-0.001214,0.644012,-0.155744,1,-0.100,27.7
0.417733,-0.419759,1.057764,0.002234,-0.001398,0.987968,0.006669,0,0.100,27.7
-0.622661,0.224337,1.078020,0.012328,-0.010834,0.419179,-0.186005,1,0.100,27.7
-0.071307,-0.734611,1.009105,0.025291,0.001088,1.007834,-0.006203,0,0.300,27.7
-1.371882,0.466858,0.976674,-0.008683,0.003673,0.642328,-0.042457,1,0.300,27.7
0.408790,-0.739526,0.999136,0.012216,-0.000043,0.675052,0.049939,0,0.500,27.7
-0.757430,-1.397613,0.929714,0.038902,-0.007641,0.431375,-0.124190,1,0.500,27.7
0.312365,-0.960972,1.003303,0.033305,-0.001169,1.045176,-0.104044,0,0.700,27.7
-0.311252,-1.357947,0.941407,0.081700,-0.006531,1.333054,-0.029459,1,0.700,27.7
0.027453,-1.520990,0.950990,0.032483,-0.004459,0.424891,0.018097,0,0.900,27.7
-0.412061,-2.077094,0.993188,0.037974,-0.004287,0.602413,0.023297,1,0.900,27.7
0.432126,1.473487,1.063312,-0.041922,0.004670,1.229727,-0.087459,0,-0.900,36.9
-0.812764,1.371709,1.045356,-0.060622,0.030627,0.184082,-0.043513,1,-0.900,36.9
-0.011505,1.129593,1.007456,-0.040139,-0.003675,0.826732,-0.077076,0,-0.700,36.9
-0.708766,0.318840,0.885236,-0.045290,-0.002836,0.862807,-0.062339,1,-0.700,36.9
-0.209828,0.686002,1.030070,-0.012148,0.003261,1.002044,-0.041782,0,-0.500,36.9
-0.812297,-0.507930,1.061772,-0.015774,0.006364,1.692945,0.065412,1,-0.500,36.9
-0.864312,1.992226,1.002247,-0.011502,0.006162,0.794978,0.060859,0,-0.300,36.9
-1.117853,-0.563176,0.971643,0.001439,-0.000197,1.151206,-0.122005,1,-0.300,36.9
-0.607403,0.249598,1.013933,-0.026798,-0.001049,0.709785,0.023051,0,-0.100,36.9
-0.821152,0.498795,0.992046,0.014635,-0.001585,0.866331,-0.071544,1,-0.100,36.9
0.136372,0.391210,0.976229,0.004005,-0.005353,0.865992,-0.002402,0,0.100,36.9
-0.886835,-0.745690,1.039863,0.013579,0.003914,0.888145,-0.071284,1,0.100,36.9
-0.156783,0.083010,0.988517,0.016823,-0.000599,0.937327,0.109563,0,0.300,36.9
-0.025089,0.494507,0.959861,0.037090,0.003658,1.166527,0.014293,1,0.300,36.9
-0.446200,-0.188783,0.988869,0.012562,-0.002292,0.945808,-0.028621,0,0.500,36.9
0.693536,-3.192425,0.920025,0.010051,-0.000531,1.110101,0.051784,1,0.500,36.9
0.013208,-0.907529,1.048364,0.025339,-0.002945,0.888672,0.073399,0,0.700,36.9
