# pdg,pid,reco_coszen,reco_energy,true_energy,true_coszen,weight
13,1,0.500,36.9,259.692919,0.558422,3.319513e-08
13,1,0.300,49.2,366.317415,0.275277,5.298401e-09
13,0,-0.100,27.7,196.468181,0.217137,4.345106e-09
13,1,0.300,36.9,247.240484,0.566966,3.095148e-08
13,1,0.500,36.9,266.635989,0.640117,3.576586e-08
13,1,0.900,49.2,256.685967,0.565176,1.996962e-08
13,1,0.300,49.2,247.923764,0.467964,1.511560e-08
13,0,-0.300,27.7,229.552505,0.536434,2.609722e-08
13,1,0.500,36.9,213.520259,0.535577,3.166357e-08
13,0,0.700, 8.7,265.166389,0.554680,3.237701e-08
13,0,0.300,20.7,191.558466,0.395568,1.112112e-08
13,0,0.300,36.9,273.437769,0.437345,2.499210e-08
13,1,0.100,27.7,275.069227,0.710642,4.394706e-08
13,1,0.500,27.7,294.607689,0.681095,4.651299e-08
13,0,0.700,49.2,267.776802,0.640492,3.454995e-08
13,0,0.300,27.7,185.076474,0.207715,2.201082e-09
13,0,-0.500,36.9,280.577631,0.585806,3.307894e-08
13,0,0.900,49.2,266.336066,0.657830,3.359831e-08
13,0,-0.100,27.7,221.260228,0.488628,3.050748e-08
13,0,0.500,36.9,282.761480,0.599531,3.640347e-08
13,1,0.700,15.6,273.724827,0.544017,2.865954e-08
13,0,0.700,27.7,181.182636,0.212956,1.807888e-09
13,0,0.900,27.7,277.131468,0.721094,5.038771e-08
13,0,-0.300,36.9,198.066404,0.461583,2.505331e-08
13,1,0.900,36.9,306.391371,0.630656,4.054654e-08
13,1,0.100,20.7,262.827725,0.348172,1.818149e-08
13,0,0.100,36.9,267.717606,0.699033,4.092370e-08
13,1,-0.900,15.6,249.870888,0.559508,4.582204e-08
13,1,0.700,27.7,304.749945,0.664755,2.815769e-08
13,0,-0.100,27.7,300.034927,0.509877,2.833599e-08
13,1,0.500,27.7,217.332187,0.440723,2.266202e-08
13,0,-0.300,20.7,233.484743,0.392683,2.216592e-08
13,1,0.700,27.7,259.009778,0.432842,2.362124e-08
13,1,0.900,36.9,299.763063,0.532828,2.213213e-08
13,0,0.100,11.7,222.740373,0.396057,1.878394e-08
13,0,0.700,20.7,223.562640,0.582587,2.551852e-08
13,0,-0.900,20.7,202.154292,0.576242,2.787793e-08
13,1,-0.100,36.9,307.191113,0.471228,2.940683e-08
13,1,-0.300,36.9,184.247935,0.427674,1.402221e-08
13,1,0.700,27.7,194.247039,0.421188,1.571495e-08
13,0,0.100, 8.7,211.922852,0.643151,3.978022e-08
13,1,0.300,49.2,344.021610,0.330127,9.214566e-09
13,0,-0.100,20.7,205.292339,0.451195,2.349145e-08
13,0,-0.100,27.7,219.356121,0.490970,3.013459e-08
13,1,0.700,27.7,227.698632,0.509864,3.292728e-08
13,1,0.300,36.9,183.746384,0.273954,9.613537e-09
13,1,0.700,49.2,273.187761,0.531379,2.710543e-08
13,0,0.300,27.7,283.400148,0.549091,3.588896e-08
13,1,0.300,27.7,196.150450,0.374021,1.429673e-08
13,0,0.700,36.9,314.251938,0.553397,3.084357e-08
13,1,0.700,36.9,224.025135,0.607059,3.123819e-08
13,0,0.900,36.9,268.924604,0.644130,4.908732e-08
13,1,0.500,49.2,447.535039,0.778395,4.014434e-08
13,0,0.100,27.7,237.244039,0.678264,4.265588e-08
13,0,-0.100,11.7,193.048863,0.504943,2.845801e-08
13,0,-0.500,11.7,367.416068,0.874153,8.200157e-08
13,0,0.500, 6.6,255.897708,0.596550,3.049986e-08
13,0,0.500,15.6,273.511982,0.391753,1.041841e-08
13,1,0.300,49.2,218.159349,0.298110,8.876143e-09
13,1,0.300,36.9,197.353953,0.552325,2.690318e-08
13,0,0.500,20.7,207.989448,0.525271,3.288603e-08
13,1,0.700,36.9,275.358220,0.529118,1.917061e-08
13,0,0.300,27.7,219.370970,0.432630,1.935650e-08
13,1,0.500,36.9,281.738783,0.637786,3.299339e-08
13,1,0.500,49.2,310.486901,0.593985,2.931700e-08
13,0,0.300,15.6,256.714448,0.696780,5.330710e-08
13,0,-0.300,11.7,212.590402,0.487817,2.234655e-08
13,0,-0.700,36.9,279.166729,0.665370,6.183135e-08
13,0,0.700,36.9,372.904808,0.564608,3.374807e-08
13,0,-0.700, 8.7,290.059487,0.650630,3.943345e-08
13,0,0.100,36.9,212.086634,0.351256,1.561054e-08
13,1,0.500,36.9,232.824170,0.469902,2.746226e-08
13,1,0.700,49.2,222.699863,0.537635,2.598027e-08
13,0,0.500,20.7,202.693878,0.467650,1.564226e-08
13,0,0.700,36.9,198.263861,0.530421,1.989979e-08
13,0,0.700,49.2,335.820188,0.660697,2.952329e-08
13,0,-0.500,15.6,215.855218,0.424332,2.043839e-08
