# ice_absorption,ice_scattering,offset,opt_eff_headon,opt_eff_lateral,opt_eff_overall,coin_fraction,pid,reco_coszen,reco_energy
-0.367195,0.764290,1.019031,-0.021949,0.004669,0.956562,-0.045592,0,-0.500,20.7
-0.056737,0.133754,0.987133,-0.017688,0.001269,0.433752,0.027592,1,-0.500,20.7
-0.153551,0.326739,0.998253,-0.012279,0.002558,1.282852,-0.002561,0,-0.300,20.7
0.493362,-0.125757,1.001884,-0.006080,0.003575,0.481543,-0.015301,1,-0.300,20.7
-0.300716,0.161161,0.986436,-0.005464,0.000874,1.146977,-0.008075,0,-0.100,20.7
0.296876,-0.461571,0.998076,-0.005415,0.003023,0.067397,-0.057952,1,-0.100,20.7
-0.011181,0.193692,0.993976,0.007154,0.001703,1.220280,-0.004866,0,0.100,20.7
0.278478,-0.497367,1.010290,0.000379,-0.001838,0.159171,-0.037945,1,0.100,20.7
-0.259485,-0.058688,0.991753,0.020960,-0.002868,1.000506,-0.001424,0,0.300,20.7
0.372489,-1.010277,1.007290,0.011934,-0.003295,0.158742,0.003996,1,0.300,20.7
-0.040548,-0.399581,0.996001,0.022664,-0.001943,1.110360,-0.031277,0,0.500,20.7
0.585442,-0.768822,1.002581,0.020872,-0.003206,0.012090,0.010053,1,0.500,20.7
-0.359271,-0.150504,1.002182,0.024098,-0.004711,1.342131,-0.004313,0,0.700,20.7
-0.052574,-0.428240,1.028277,0.025066,-0.004242,0.350041,-0.053232,1,0.700,20.7
-0.553643,-0.318698,1.002792,0.030498,-0.003285,1.600763,0.009127,0,0.900,20.7
-0.543478,-0.987032,1.032078,0.028260,-0.002307,1.062184,0.005846,1,0.900,20.7
-0.698533,1.561287,1.009279,-0.032579,0.002374,1.456447,-0.003034,0,-0.900,27.7
-0.718617,1.073312,1.012874,-0.013765,0.003129,0.861936,-0.059330,1,-0.900,27.7
-0.335042,1.069143,0.972344,-0.023537,0.004239,1.091691,-0.059355,0,-0.700,27.7
-0.281437,0.388250,0.950957,-0.016869,0.002274,0.779230,0.000344,1,-0.700,27.7
-0.378568,0.855465,0.971304,-0.023242,0.004017,1.347880,0.000375,0,-0.500,27.7
-0.266919,0.234478,0.974903,-0.008387,-0.000317,0.916736,0.024808,1,-0.500,27.7
-0.750483,0.844197,1.000500,-0.008324,0.001829,1.294639,0.009216,0,-0.300,27.7
0.001572,0.306449,1.021768,-0.008262,0.000922,0.589349,-0.001276,1,-0.300,27.7
-0.246562,0.404030,1.014559,-0.002450,0.001500,1.458438,-0.040938,0,-0.100,27.7
0.071116,-0.040660,1.009231,-0.002769,-0.000772,0.595212,-0.002390,1,-0.100,27.7
-0.169491,0.191715,0.985763,0.016140,-0.000307,1.212446,-0.026303,0,0.100,27.7
0.042402,-0.210398,0.992156,0.002936,-0.002579,0.404028,0.002815,1,0.100,27.7
-0.339892,-0.163615,0.965840,0.023898,-0.000153,1.235462,0.006619,0,0.300,27.7
0.307093,-0.352089,1.006047,0.009209,-0.001980,0.221877,-0.010534,1,0.300,27.7
-0.270609,0.100105,1.002421,0.023360,-0.002256,1.192478,-0.007290,0,0.500,27.7
0.506621,-0.822640,1.009055,0.012990,-0.002460,-0.097416,0.010683,1,0.500,27.7
-0.334896,-0.213982,1.003052,0.027501,-0.000675,1.241677,-0.021223,0,0.700,27.7
0.323623,-0.931924,1.017043,0.020664,-0.002901,-0.468571,0.038118,1,0.700,27.7
-0.349458,-0.413781,0.996414,0.037600,-0.002055,1.356364,-0.022143,0,0.900,27.7
0.307411,-1.221680,0.993675,0.032395,0.000246,-0.071752,-0.007568,1,0.900,27.7
-0.572367,1.694898,0.972415,-0.029393,0.004115,1.312827,0.027481,0,-0.900,36.9
