# ice_absorption,ice_scattering,offset,opt_eff_headon,opt_eff_lateral,opt_eff_overall,coin_fraction,pid,reco_coszen,reco_energy
-0.430387,0.662947,0.996898,-0.046677,0.008481,1.122312,-0.044536,0,-0.500,20.7
-0.694355,-0.141577,1.030454,-0.042882,0.007585,0.925919,0.061772,1,-0.500,20.7
-0.106593,0.389340,1.006131,-0.016577,0.001872,1.141257,0.046082,0,-0.300,20.7
-0.457943,-0.503160,0.997033,-0.011390,0.002038,1.292236,0.072826,1,-0.300,20.7
-0.267731,0.005953,1.004414,-0.018907,-0.000523,1.277986,-0.007535,0,-0.100,20.7
0.004755,0.381144,1.013878,-0.030687,0.002090,1.350289,-0.027273,1,-0.100,20.7
-0.111767,0.195864,1.031938,0.001604,0.001587,0.968614,0.013594,0,0.100,20.7
-0.701195,0.494113,1.021102,-0.003683,0.006911,1.057814,0.029056,1,0.100,20.7
-0.161919,-0.377144,0.987170,0.020549,0.000055,1.435086,-0.002772,0,0.300,20.7
-0.454502,0.096222,0.983155,0.008186,-0.000110,1.121445,0.009548,1,0.300,20.7
-0.442981,-0.326383,1.001118,0.030279,-0.002250,1.241585,-0.000874,0,0.500,20.7
-0.613922,-0.240001,0.990419,0.025692,-0.008868,1.116048,-0.028791,1,0.500,20.7
-0.378413,-0.439001,0.995113,0.037874,-0.003109,1.290371,-0.005325,0,0.700,20.7
-1.466185,-1.075077,0.992778,0.043234,0.001825,1.213301,0.057571,1,0.700,20.7
-0.365781,-0.624394,1.011159,0.030674,-0.007446,1.384619,-0.051361,0,0.900,20.7
-1.168463,-1.533418,1.071308,0.058821,-0.008001,2.230464,0.008583,1,0.900,20.7
-0.740287,2.003906,1.004321,-0.044859,0.005057,1.004497,-0.038348,0,-0.900,27.7
-1.122215,1.805774,0.820233,-0.060288,0.009565,0.900816,0.008318,1,-0.900,27.7
-0.393046,1.210085,0.970022,-0.047708,0.005183,1.173665,0.003299,0,-0.700,27.7
-0.493353,0.023738,0.944975,-0.011907,0.010613,0.837101,0.251958,1,-0.700,27.7
-0.326071,0.916521,1.033598,-0.029717,0.004135,1.337468,0.017555,0,-0.500,27.7
-1.252998,1.690253,0.941442,-0.039805,-0.003489,0.540151,-0.069075,1,-0.500,27.7
-0.447035,1.126656,1.003648,-0.020248,0.002021,1.328641,0.003766,0,-0.300,27.7
-0.843580,0.087173,0.966277,-0.003233,0.007533,0.961843,0.033951,1,-0.300,27.7
-0.361408,0.447874,1.009402,-0.007208,0.001873,1.139275,0.003696,0,-0.100,27.7
-0.464445,0.563338,1.017640,0.009377,-0.002885,1.155886,-0.018506,1,-0.100,27.7
0.212523,-0.140700,0.984675,0.007381,0.001099,1.373774,0.018212,0,0.100,27.7
-1.472231,0.339235,0.997075,-0.018038,-0.004445,1.576824,0.051158,1,0.100,27.7
-0.182700,-0.078345,0.962070,0.021952,-0.001571,1.290592,-0.047875,0,0.300,27.7
-1.361116,-0.642394,0.995486,0.025656,-0.004832,1.376467,-0.083287,1,0.300,27.7
-0.063076,-0.520571,1.035679,0.031301,-0.000455,1.245338,-0.092930,0,0.500,27.7
-0.724334,-1.138151,0.982829,0.026182,0.002878,1.188244,-0.073140,1,0.500,27.7
0.027504,-0.992948,1.009128,0.046783,-0.004471,1.358989,-0.031556,0,0.700,27.7
-1.227382,-0.288073,0.963300,0.050339,-0.011769,1.168287,-0.058549,1,0.700,27.7
-0.493802,-1.223319,1.042093,0.042843,-0.002485,1.777078,0.001282,0,0.900,27.7
-1.156527,-0.952172,0.962319,0.061347,-0.007498,0.742521,-0.056130,1,0.900,27.7
-0.245205,1.627304,0.975256,-0.035195,0.004764,1.044494,0.014633,0,-0.900,36.9
-3.289013,2.777962,0.927416,0.006926,0.014673,1.989019,-0.211298,1,-0.900,36.9
-0.664708,1.778693,1.030682,-0.052131,0.005240,0.937238,0.003753,0,-0.700,36.9
-1.427794,1.013139,0.929564,-0.050479,0.009167,1.835777,0.019060,1,-0.700,36.9
-0.581531,0.946583,0.973564,-0.039132,0.002318,1.501658,-0.050178,0,-0.500,36.9
-1.753522,1.139463,1.033299,0.028658,0.013930,1.089551,0.035447,1,-0.500,36.9
-0.554776,1.255189,0.941836,-0.021627,0.000967,1.087433,0.028739,0,-0.300,36.9
-0.740463,0.884749,1.030818,-0.064710,-0.004470,1.985142,-0.005473,1,-0.300,36.9
-0.554501,0.873058,0.977041,-0.009644,0.001622,1.127053,0.108844,0,-0.100,36.9
-1.881759,1.987668,0.997281,-0.008997,0.006923,1.520949,0.005062,1,-0.100,36.9
-0.574141,0.080674,1.032829,0.009819,-0.002736,1.571585,0.042982,0,0.100,36.9
-0.576585,-1.169244,0.962497,0.012660,0.000630,1.479457,-0.011260,1,0.100,36.9
-0.387836,-0.089901,1.000281,0.029695,-0.003297,1.409144,0.015830,0,0.300,36.9
-0.849392,-1.046438,0.990414,0.012500,-0.006482,1.423513,-0.016706,1,0.300,36.9
0.116695,-1.100840,0.965545,0.041163,-0.001900,1.179707,0.061262,0,0.500,36.9
-1.323983,-1.013704,0.971448,0.028144,0.000489,1.473782,-0.011709,1,0.500,36.9
-0.128211,-0.311388,1.038489,0.030937,-0.003780,1.651424,-0.042631,0,0.700,36.9
-1.464168,-2.882340,1.130475,0.049213,-0.004472,1.498919,0.018961,1,0.700,36.9
-0.549992,-0.756498,0.967136,0.017021,-0.012371,1.486214,0.030810,0,0.900,36.9
-1.389314,-1.475866,0.992061,0.049937,0.002220,1.533087,0.022582,1,0.900,36.9
-0.514616,1.968379,1.052154,-0.050701,0.004976,1.370112,-0.039684,0,-0.900,49.2
-1.627454,1.048518,1.136941,-0.028079,0.018145,2.628467,-0.159952,1,-0.900,49.2
-0.844517,2.138168,1.009749,-0.038881,0.009478,1.226904,0.096658,0,-0.700,49.2
0.457602,1.276946,0.869780,-0.037674,0.015729,0.893474,0.050372,1,-0.700,49.2
-0.740579,2.108270,0.940041,-0.055109,-0.005286,1.444939,-0.026642,0,-0.500,49.2
-0.820773,0.829523,0.890590,-0.031871,0.003077,0.998271,-0.026935,1,-0.500,49.2
0.038422,0.397660,1.013693,-0.017040,-0.000169,1.307278,0.049974,0,-0.300,49.2
-0.574158,1.444146,1.041787,-0.040449,0.010608,1.043886,0.084394,1,-0.300,49.2
-0.472417,1.244027,1.005781,-0.010133,0.005283,1.237022,0.115850,0,-0.100,49.2
-1.355219,2.841144,0.936899,-0.019697,-0.000089,1.554053,0.131647,1,-0.100,49.2
-0.482740,0.108342,0.953605,0.010169,0.004112,1.275138,0.092955,0,0.100,49.2
-1.356170,-0.471231,1.026099,0.018694,-0.009230,1.390858,0.003861,1,0.100,49.2
-0.285447,-0.684705,1.028670,0.037608,0.000136,1.305046,0.186772,0,0.300,49.2
-0.895072,-1.146112,0.956651,0.005885,-0.017270,1.326216,0.121973,1,0.300,49.2
0.202028,-0.283423,0.984150,0.040622,0.002067,1.192009,0.187429,0,0.500,49.2
-2.117821,-0.804193,1.004738,0.036477,-0.004361,1.202025,0.008439,1,0.500,49.2
0.279866,-0.478623,1.009907,0.043378,-0.005219,1.250390,0.090887,0,0.700,49.2
-1.967420,-2.265045,1.025603,0.050530,-0.010633,1.296761,0.176020,1,0.700,49.2
-0.128266,-0.371208,1.047053,0.032240,-0.011834,1.389781,0.073549,0,0.900,49.2
-1.279067,-2.505588,0.941186,0.056489,-0.005891,1.317816,-0.102000,1,0.900,49.2
