# ice_absorption,ice_absorption_expslope,ice_scattering,offset,opt_eff_headon,opt_eff_lateral,opt_eff_overall,opt_eff_overall_expslope,pid,reco_coszen,reco_energy
2.840670,2.363519,0.817643,1.192036,0.176382,0.044551,0.066478,-16.039902,0,0.900,15.6
130.837884,0.015843,-1.173911,0.662268,0.074959,-0.003184,0.206073,-9.940610,1,0.900,15.6
1.697304,3.778358,0.986214,0.844559,0.066790,0.007586,0.637744,-8.935908,0,-0.900,20.7
1.135660,11.954050,-2.265270,1.304039,0.051443,-0.003917,0.798661,-10.961218,1,-0.900,20.7
0.738118,9.026483,-1.176853,0.735790,0.000945,-0.007274,0.921518,-7.766273,0,-0.700,20.7
1.132915,6.754948,-0.056695,0.774869,0.072848,-0.009252,0.626531,-10.429489,1,-0.700,20.7
1.021159,7.020927,-1.649111,0.840757,0.013498,0.007146,1.394317,-6.606136,0,-0.500,20.7
0.840769,9.842469,-0.685820,0.828288,-0.051837,-0.027060,0.619832,-10.648379,1,-0.500,20.7
1.166438,7.664843,-0.031497,0.834462,0.038884,0.002113,1.991176,-5.647145,0,-0.300,20.7
1.006063,8.434104,-0.630209,0.916351,0.109038,-0.006708,0.572584,-10.056540,1,-0.300,20.7
0.739904,9.913510,-1.887446,0.845510,0.091257,0.016886,0.659568,-8.870094,0,-0.100,20.7
1.180986,4.459670,0.575471,1.084088,0.163606,0.003812,0.254068,-11.823284,1,-0.100,20.7
0.632154,12.159412,-0.734372,0.729573,0.011167,-0.011397,2.506676,-4.592682,0,0.100,20.7
0.770787,7.095600,-0.552706,1.066104,0.072927,0.022561,0.661030,-8.397851,1,0.100,20.7
1.879779,4.678839,0.693365,1.033754,0.070908,0.027445,0.733865,-9.112257,0,0.300,20.7
0.378514,8.870412,0.043517,0.797720,0.092057,0.011939,0.195889,-11.355230,1,0.300,20.7
3.106354,2.761385,1.860877,0.982954,0.032707,-0.041876,2.119840,-4.703991,0,0.500,20.7
0.638225,4.877419,-0.014373,0.252346,0.023092,-0.003741,1.341114,-4.950829,1,0.500,20.7
1.921450,4.114144,2.481030,1.078878,0.050239,-0.005101,0.812530,-7.197878,0,0.700,20.7
14.403279,1.328397,4.470768,0.838320,-0.311758,-0.203048,23.925118,-2.046649,1,0.700,20.7
0.993843,9.909425,2.376425,1.179614,-0.099964,-0.025808,0.167717,-14.458571,0,0.900,20.7
1.127697,6.034141,-1.331504,0.780767,0.011094,-0.056073,0.628074,-8.478376,1,0.900,20.7
0.576453,12.745239,0.631347,0.959102,0.034669,-0.009906,0.966612,-7.806234,0,-0.900,27.7
1.167841,6.681268,-4.277363,0.840301,-0.012103,0.002262,0.832590,-9.921645,1,-0.900,27.7
1.085464,6.692448,0.035557,0.868057,0.045236,-0.005364,2.841746,-4.609876,0,-0.700,27.7
1.434015,7.169291,-1.420964,0.919207,0.075065,0.006511,0.827406,-10.282907,1,-0.700,27.7
1.051227,7.630032,-0.435394,0.845462,-0.010530,-0.018966,0.852224,-7.534416,0,-0.500,27.7
0.846038,10.713878,-0.165059,0.944174,0.063828,-0.002736,1.180434,-8.425572,1,-0.500,27.7
1.042188,6.429606,0.343407,0.677274,0.008701,-0.018022,1.287509,-5.803515,0,-0.300,27.7
1.513522,4.615265,0.257465,0.676115,0.028627,0.005875,0.909546,-8.009430,1,-0.300,27.7
0.795155,10.729326,-0.493476,1.038728,-0.022445,-0.010487,0.394553,-9.795054,0,-0.100,27.7
0.051030,28.200877,1.549760,0.938012,0.041989,0.011567,0.592819,-8.466105,1,-0.100,27.7
2.072517,2.841822,-0.067536,0.873460,0.070998,-0.018567,3.974616,-3.280453,0,0.100,27.7
1.121286,8.058368,-0.261575,0.943231,0.088627,-0.010806,0.657157,-8.285982,1,0.100,27.7
1.588536,5.760720,1.093824,0.766083,0.012563,-0.054876,12.184659,-1.319205,0,0.300,27.7
1.496588,5.766048,-1.533765,1.157797,0.083784,-0.018622,0.602160,-9.245602,1,0.300,27.7
2.325789,5.988842,1.118699,1.546646,0.234123,-0.027236,0.576310,-10.889874,0,0.500,27.7
