# ice_absorption,ice_scattering,offset,opt_eff_headon,opt_eff_lateral,opt_eff_overall,coin_fraction,pid,reco_coszen,reco_energy
-0.733831,2.034337,0.936668,-0.050371,0.009659,1.667810,-0.142947,0,-0.500,20.7
-3.752134,3.321576,0.960138,-0.009733,0.002212,1.066816,-0.499609,1,-0.500,20.7
-1.014524,1.394274,0.997568,-0.042395,0.008811,1.189630,0.279872,0,-0.300,20.7
1.026389,1.745500,0.867426,-0.061678,-0.005957,1.958384,0.062950,1,-0.300,20.7
-0.443081,1.148811,0.985390,-0.033608,0.006462,1.029231,-0.081501,0,-0.100,20.7
-1.275218,2.912649,0.817321,-0.045881,0.005171,1.221676,0.030188,1,-0.100,20.7
-0.311657,0.588273,1.014800,-0.020372,0.002969,1.498893,0.036449,0,0.100,20.7
-1.382850,0.301767,0.990960,-0.030400,-0.002245,1.200338,0.176693,1,0.100,20.7
-0.290032,-0.103839,0.968404,-0.007021,0.001736,1.362396,0.112593,0,0.300,20.7
-1.618159,1.199251,1.090422,-0.010204,0.003774,1.656570,0.055440,1,0.300,20.7
0.120056,-0.079124,1.059788,0.009951,0.000169,1.082789,0.146992,0,0.500,20.7
-0.804949,0.081590,1.015304,-0.003601,0.001929,1.729785,0.074428,1,0.500,20.7
-0.314831,-0.745652,0.994119,0.030565,-0.003044,1.471613,-0.076231,0,0.700,20.7
-0.465137,-0.753833,0.918796,0.023818,0.002952,1.028176,-0.223667,1,0.700,20.7
0.248005,-0.921340,0.963268,0.023442,-0.002841,0.976470,0.116338,0,0.900,20.7
0.240227,-0.507404,0.887643,0.037295,-0.003850,0.815877,-0.025983,1,0.900,20.7
-2.191984,2.692091,0.931291,-0.013034,0.001970,0.854942,0.290438,0,-0.900,27.7
-5.346170,7.032687,0.954681,-0.074159,0.033574,-0.515336,-0.919044,1,-0.900,27.7
-1.283940,1.328238,0.834863,-0.053776,0.013088,1.245552,0.204952,0,-0.700,27.7
-3.181420,6.338787,1.073428,-0.011694,-0.000381,2.364182,1.387443,1,-0.700,27.7
-0.252070,1.248914,0.971073,-0.050499,0.010575,1.851073,-0.242987,0,-0.500,27.7
-2.817107,0.607365,1.113910,-0.104482,-0.008216,3.302538,-0.994025,1,-0.500,27.7
-1.741698,3.670424,1.034439,-0.071232,-0.001127,1.217332,0.346154,0,-0.300,27.7
-0.815776,3.430313,1.101691,-0.074807,-0.008405,2.308693,-0.545491,1,-0.300,27.7
-1.058776,1.720019,0.959728,-0.020374,-0.000254,1.757056,0.068496,0,-0.100,27.7
-1.905959,1.025855,0.820458,-0.031337,-0.004712,1.915677,-0.187041,1,-0.100,27.7
-0.140616,0.646243,0.962788,-0.036891,0.005950,1.484050,0.073127,0,0.100,27.7
-0.984586,0.462402,1.055571,-0.028015,0.004692,1.487426,-0.132216,1,0.100,27.7
-0.767580,0.088999,0.962315,-0.005710,0.001187,1.645913,0.006328,0,0.300,27.7
-1.333945,1.199890,1.010812,-0.019720,-0.006821,1.851094,-0.123236,1,0.300,27.7
-0.340457,-0.108151,1.010033,0.014181,0.002924,1.354339,0.009302,0,0.500,27.7
-0.254900,-0.357654,0.997840,0.004560,0.005488,1.484509,0.120582,1,0.500,27.7
-0.563142,-0.675020,1.004302,0.032305,-0.003517,1.533391,0.152949,0,0.700,27.7
-0.976004,-0.694216,0.999094,0.027301,-0.000451,0.727733,-0.312959,1,0.700,27.7
-0.515616,-1.055679,0.966509,0.022657,-0.007919,1.581733,0.023802,0,0.900,27.7
-0.254982,-2.081863,1.022749,0.028118,-0.005100,1.801100,-0.037972,1,0.900,27.7
-1.355482,5.768533,1.019129,-0.016037,0.003198,2.938250,-0.275467,0,-0.900,36.9
-4.166701,4.088449,0.934071,-0.020991,0.017666,-0.221012,-0.845458,1,-0.900,36.9
-1.692038,4.131476,0.990187,-0.037437,0.015056,1.088890,-0.101701,0,-0.700,36.9
-1.791602,6.901464,0.996154,-0.051445,-0.027981,-0.083560,0.055277,1,-0.700,36.9
-2.240218,2.269612,1.052308,-0.013214,0.009172,2.227939,0.610483,0,-0.500,36.9
-1.336870,9.027510,1.043122,-0.038501,0.009728,3.489367,-0.303155,1,-0.500,36.9
-2.892403,4.060167,1.005541,-0.054294,-0.011220,2.782735,-0.325433,0,-0.300,36.9
-2.770432,2.065514,1.331553,-0.023468,0.005432,1.243343,-0.590423,1,-0.300,36.9
-1.292081,2.719780,0.892484,-0.037881,0.005745,1.554686,-0.164876,0,-0.100,36.9
-4.437990,3.458295,1.171988,-0.078117,-0.009365,0.850844,0.526470,1,-0.100,36.9
-1.763238,2.372226,1.083579,-0.026985,0.010771,2.466458,-0.113807,0,0.100,36.9
-1.128131,2.795715,1.076782,-0.022775,-0.002875,2.104081,0.073669,1,0.100,36.9
-1.243710,1.346498,1.011571,-0.004769,-0.001322,2.101154,0.009193,0,0.300,36.9
-2.044825,0.529261,1.101559,0.007064,0.006274,2.032396,-0.271716,1,0.300,36.9
-0.649704,-0.136286,0.992370,0.003002,-0.003797,1.622143,-0.074728,0,0.500,36.9
-0.837217,-0.572329,1.002734,0.000291,-0.003702,1.738320,-0.176504,1,0.500,36.9
-0.810393,-0.216717,0.968849,0.022339,-0.004290,2.055691,-0.123294,0,0.700,36.9
-1.689441,-1.083664,0.982980,0.031111,-0.002826,1.763122,0.693089,1,0.700,36.9
-0.650594,-1.538803,1.022821,0.021290,-0.003976,2.358362,0.158921,0,0.900,36.9
-1.257395,-1.778337,1.026535,0.031054,0.006896,1.790622,0.268662,1,0.900,36.9
-2.009272,-0.924385,0.819886,-0.032918,-0.014344,3.782293,-0.400591,0,-0.900,49.2
-1.337670,15.502138,1.613532,-0.224503,0.003766,-1.090720,-1.603698,1,-0.900,49.2
0.705788,3.591462,0.959911,-0.056952,0.034886,1.353919,-0.534071,0,-0.700,49.2
-5.526031,7.601265,1.927156,-0.069824,0.057902,10.606904,-1.773004,1,-0.700,49.2
-2.647466,3.745439,0.987371,-0.107526,0.007716,2.452969,-0.131265,0,-0.500,49.2
-4.268518,2.301619,0.947194,-0.059485,-0.033114,4.165100,2.724501,1,-0.500,49.2
1.926413,6.454441,1.254811,-0.119362,0.024418,4.568381,0.198518,0,-0.300,49.2
-1.939117,6.728697,1.155126,-0.101565,-0.009522,3.225838,-0.821899,1,-0.300,49.2
-0.339022,2.588358,0.801356,-0.058059,0.001437,1.954606,-0.102688,0,-0.100,49.2
-2.433835,2.538717,0.829310,-0.026540,-0.004251,1.217633,0.080977,1,-0.100,49.2
-1.373976,1.296198,0.895865,-0.033057,0.006733,1.707074,-0.223896,0,0.100,49.2
-1.509451,4.542182,1.119791,-0.054161,-0.008872,2.117801,0.550884,1,0.100,49.2
-0.610180,1.186662,0.939439,0.002365,-0.002975,1.711307,0.171369,0,0.300,49.2
-3.623941,2.631502,1.177894,-0.033169,-0.002071,2.777101,0.252898,1,0.300,49.2
-1.345467,1.155896,0.978125,0.020745,-0.000715,2.077728,0.003366,0,0.500,49.2
-2.172367,-0.052263,0.853515,0.013835,-0.006948,2.313907,-0.106078,1,0.500,49.2
-1.185827,0.316229,1.010724,0.016283,-0.002321,2.468256,0.035750,0,0.700,49.2
-0.881044,-1.864144,0.994689,0.009317,-0.001806,2.117861,0.183486,1,0.700,49.2
-0.737039,-0.627911,1.010488,0.024996,-0.006973,1.339154,0.078618,0,0.900,49.2
-1.013988,-1.774536,0.993250,0.066019,0.002490,2.690069,0.312219,1,0.900,49.2
