ice_absorption,ice_scattering,offset,opt_eff_headon,opt_eff_lateral,opt_eff_overall,pid,reco_coszen,reco_energy
-0.000787481962067035,-0.006246739700281992,0.5430056039714826,0.03336250233844246,-0.006976773033555387,0.6424289683393266,0,-0.875,6.6
0.0039264163288413945,-0.005163009746702445,0.5593714017352991,0.042526434694358115,-0.005887612905101041,0.5917216796287542,1,-0.875,6.6
0.0003073796299049117,-0.003786084962001116,0.3147058437987737,0.038735914144508686,-0.0038337919193472307,0.774912879057611,0,-0.625,6.6
0.0013013229372044021,0.0008245301457170133,0.45422185627376715,0.03982467316728348,-0.0025712301639296076,0.5648617401152106,1,-0.625,6.6
0.0007038282773576961,-0.005971536976040761,0.16429844325089282,0.019068480216351685,-0.0013482431592111046,0.890186101608477,0,-0.375,6.6
0.0059835548541702,0.0019436040549212384,0.4849335402109531,0.02088662372839616,-0.0021995628513352505,0.5518166960687758,1,-0.375,6.6
0.002638300249711617,-0.0034204000783397866,0.08884003515938373,-0.0037446578919893944,-0.0004005197283506067,0.9108315015729573,0,-0.125,6.6
0.0049626924956381775,0.00015864192275746487,0.3155799078141224,-4.1112584172831035e-05,-0.001101643289959764,0.6908845308781562,1,-0.125,6.6
0.004110194368007582,-0.0009069160690924625,0.31893711323364315,-0.017692935179802093,0.0006895248052354453,0.6666426534000938,0,0.125,6.6
-0.0024243105037349885,0.008709488487709872,0.3367362907619209,-0.022343070771964513,1.869835099899131e-05,0.6980968491168773,1,0.125,6.6
0.0006065714718231657,0.0050331818546915175,0.32296487736734747,-0.01862539904057858,0.0035691740547596864,0.6181214305170623,0,0.375,6.6
0.00011152586633542508,0.007213202247814313,0.37627652547452506,-0.02423522329751361,0.0005351533634173303,0.5693856179344584,1,0.375,6.6
0.0034001908381087785,0.003958572800090846,-0.1973443663193586,-0.01895576039160304,0.005960275799736274,1.016685651949328,0,0.625,6.6
0.008338532270839104,0.004708537531946481,0.3792910712048032,-0.023272468563569296,0.004191676312436373,0.5636485752514707,1,0.625,6.6
-0.004599270771126263,0.006840830851388506,0.013581176355656126,-0.02744228764276853,0.0109563005051178,0.6794638264466056,0,0.875,6.6
0.014182796239106461,0.019580415565200397,0.4052920243412721,-0.046538558397051066,0.010808756213126883,0.37651217648563085,1,0.875,6.6
-1.7606766760103199e-06,-0.00453816708492738,0.29883444523344305,0.03751479478199761,-0.0037673329824278548,0.8060882926828722,0,-0.875,8.7
-0.0014617717818115371,-0.000974655117947377,0.4682439601933057,0.03839424440993821,-0.001357959467942552,0.5658404088673537,1,-0.875,8.7
-0.0010059397906417395,-0.006000968008242442,0.3532482047630869,0.04341127707339842,-0.004415284122575558,0.7654532396120373,0,-0.625,8.7
-0.0007650604480227038,0.000248209570689748,0.32532487505873353,0.039942812487825795,-0.006812628535899636,0.8529955940125454,1,-0.625,8.7
0.0019638237213522444,-0.0066130749448970755,0.3733651820721221,0.022122647060025567,-0.0021393102484842915,0.6852106373801117,0,-0.375,8.7
0.0005868934745861716,0.0009544065663216778,0.3734774419777426,0.018259131745608788,-0.003367365530040655,0.69455459915448,1,-0.375,8.7
0.006397074348170703,-0.00660240154033792,0.14125249408869814,-0.0023064753940280334,-0.0007053337034818319,0.8629808822904526,0,-0.125,8.7
0.0005627670793524134,0.00047676936275006966,0.5965253892591291,-0.0007685688436623603,-0.0017262694999154835,0.4592588022406428,1,-0.125,8.7
0.002845555898996568,-0.0018174266709294396,0.26111963803065313,-0.019126529561015987,-0.00013679020500671088,0.7505329771885905,0,0.125,8.7
0.003695239799654132,0.0023476983757360127,0.4847675510005976,-0.01774904390738365,0.00046753565125265916,0.540346074795914,1,0.125,8.7
0.002268557193900242,-0.000300559245809981,0.05424165353378548,-0.025897922867301065,0.003539240029907114,0.8412612436731026,0,0.375,8.7
0.006102562573534333,0.005617409429156962,0.5086670012249017,-0.017933871710153537,0.00171987760336767,0.39737225003462756,1,0.375,8.7
-0.0017069972688785412,-0.004553026240982329,0.1741094174299143,-0.02859123652605211,0.004046415808372025,0.7393877262063108,0,0.625,8.7
9.002791870848708e-05,0.002192035568109021,0.24895280493927632,-0.030612873740120044,0.004933747594500901,0.5916983899327496,1,0.625,8.7
0.002304387383687395,0.0029140508770224625,-0.24613504506731007,-0.039028993202179896,0.00708438748693761,1.1253222590918635,0,0.875,8.7
0.00678062208692219,0.006494106338990983,0.2850250440465849,-0.018641281231046695,0.006545060437349312,0.5197791468808356,1,0.875,8.7
-0.001418916832962632,-0.008277676952219478,0.22436766224377622,0.038352029067597,-0.0058830033460781994,0.9176082421968005,0,-0.875,11.7
0.00041685936521948335,-0.004109351392239969,0.40775153251069696,0.03864930998932759,-0.004527764066389433,0.7287943686065816,1,-0.875,11.7
-0.0011302592846248556,-0.00797061969416576,0.024991305007749827,0.038920592560626265,-0.003960246050290733,1.0863350624789736,0,-0.625,11.7
-0.005843246978200168,0.004962423757862045,0.3153640844325649,0.0334403763510241,-0.003031294527281293,0.743578704545143,1,-0.625,11.7
-0.00048168925099829375,-0.005651223070243867,0.12056120446195379,0.02659103782192909,-0.0029722000625419607,0.9703159653388674,0,-0.375,11.7
0.0027063861546604896,0.0007009346646215457,0.6217499800348865,0.014062585503410243,-0.0034534681758461084,0.45025404683877795,1,-0.375,11.7
0.0028080173001667156,-0.0016794208739847858,0.12507040192736707,-0.00105712209825374,-0.0016368217397691419,0.9024131254531979,0,-0.125,11.7
0.003024091306312516,0.003102480170540374,0.7606894172904269,-0.011022764231193236,-0.0029872989491549753,0.3381066933779321,1,-0.125,11.7
